first_name,sex_predicted
GIRIDHAR,F
NALLALA,F
BODA,F
ELIJALA,F
PARANDA,M
OLAPU,F
BALEMLA,F
SUNDILLA,F
BATHULA,M
DURGAM,F
NATHI,M
TALLAPALLI,F
KALUVALA,F
RAMTENKI,F
CHUKKA,F
KASIPETA,F
JANJAM,F
PULLURI,F
ALAGURTHI,F
BOCHU,F
KOINKONDA,M
SURESH,M
GAJJI,M
"P,SUBASH",F
RAMESH,F
MOGILI,F
AKU,F
PARSA,M
THAD,F
GONE,M
RACHAKONDA,F
VENKANNA,M
CHERUKUPALLY,M
VENKATADRI,M
BHUJANGA,M
VANTALA,M
JOGAIAH,F
BHADHAWATH,F
JEEDI,M
BODDU,F
BASYS,F
DHARMAPURI,F
ARIKALA,F
ESAM,M
BHUKYA,F
GADDAM,F
TATIKONDA,M
CHAKRADHAR,F
NISHANI,M
THOTA,M
BITLA,F
CHANDA,F
KAMARAPU,F
MADAVI,M
SHIVA,M
KAVETI,F
ALLOLA,F
PALVAI,F
UDINEPALLI,F
AMRUTH,M
ROYYA,F
KATAM,F
AITHARAJU,F
CHILAKA,F
KORLA,M
ATCHANNAIDU,F
DUVVADA,F
CHANDRA,F
BASKARARAO,M
DEVARAKONDA,F
KATTA,F
ALI,F
SURENDER,M
SIDDIRAMULU,F
MANTHRI,M
BANDARI,M
MEESALA,F
RAMEH,F
BADU,F
NARSIMLU,M
GADDAMEEDI,F
NAWAZ,M
CHANDER,F
DOLE,F
GUGULOTH,M
DOBBALLI,F
MUDAVAT,F
SHANKER,M
KOTHAPALLY,F
MANDALA,F
LAMBADI,F
BHUPAL,F
DIBBA,F
GOSU,F
RAVUJI,M
OSMAN,M
NARSIMULU,M
MOHAN,F
HANMANTH,M
BUSA,M
LAL,F
MUNYA,M
BALAVATHULA,F
MADDELA,F
MOGILIGARI,F
GHOVU,F
BODALA,F
SANJEEVA,M
SAKRU,M
MALLAIAH,F
MOTHI,M
VENKATAIAH,M
BONDUGULA,M
DEVAIAH,F
KANIGIRI,M
RJENDER,M
VENKATESH,M
RASMAI,F
KANTHA,M
MOOD,F
JANGALA,F
DASHARATH,F
MUTHAIAH,F
LINGAM,F
GADDA,F
SAKRIYA,F
SHINU,F
BHIMANANDA,M
SIBA,F
LENIN,M
GUNADHAR,M
MOHAND,F
NARENDRA,M
BISHNU,F
WAZED,M
DEWAN,M
ALEK,F
SHFIQUL,M
RAM,F
PARDUYMN,M
TILOTMA,F
MADAN,M
MORDHWAJ,M
GULFAN,M
SUVASH,F
HARI,M
NARESH,M
